Date,Aircraft Type,Aircraft Registration,Route of Flight From,Route of Flight Via,Route of Flight To,Duration of Flight,PIC,SIC,Cross Country,Dual Received,Solo,Part 121,Part 135,Day T-O,Day Ldg,Night T-O,Night Ldg,Approaches Instrument,Approaches Non-Instrument,Night,Actual Instrument,Simulated Instrument,Flight Simulator
2017-06-12,E170,N723YX,KORD,,KMEM,1:43,,1:43,1:43,,,,,1,1,,,,,,1:43,,
2017-06-13,E170,N642RW,KMEM,,KDEN,2:26,,2:26,2:26,,,,,1,1,,,,,,2:26,,
2017-06-16,E170,N863RW,KORD,,KSAT,2:57,,2:57,2:57,,,,,1,1,,,,,,2:57,,
2017-06-16,E170,N863RW,KSAT,,KIAH,1:00,,1:00,1:00,,,,,1,1,,,,,,1:00,,
2017-06-17,E170,N637RW,KIAH,,KSLC,2:57,,2:57,2:57,,,,,1,1,,,,,,2:57,,
2017-06-17,E170,N638RW,KSLC,,KIAH,2:56,,2:56,2:56,,,,,1,1,,,,,,2:56,,
2017-06-18,E170,N651RW,KIAH,,KABQ,2:06,,2:06,2:06,,,,,1,1,,,,,,2:06,,
2017-06-18,E170,N651RW,KABQ,,KIAH,2:05,,2:05,2:05,,,,,1,1,,,,,,2:05,,
2017-06-19,E170,N740YX,KORD,,KBNA,1:25,,1:25,1:25,,,,,1,1,,,,,,1:25,,
2017-06-19,E170,N740YX,KBNA,,KEWR,2:12,,2:12,2:12,,,,,1,1,,,,,,2:12,,
2017-06-19,E170,N357FC,KEWR,,KEWR,0:19,,0:19,0:19,,,,,1,1,,,,,,0:19,,
2017-06-22,E170,N650RW,KRME,,KPIT,1:14,,1:14,1:14,,,,,1,1,,,,,,1:14,,
2017-06-23,E170,N128HQ,KCMH,,KPHL,1:37,,1:37,1:37,,,,,1,1,,,,,,1:37,,
2017-06-23,E170,N108HQ,KPHL,,KDCA,1:10,,1:10,1:10,,,,,1,,,1,,,0:04,1:10,,
2017-06-24,E170,N117HQ,KDCA,,KMSP,2:23,,2:23,2:23,,,,,,,1,1,,,2:23,2:23,,
2017-06-25,E170,N429YX,KLGA,,KXNA,3:10,,3:10,3:10,,,,,1,1,,,,,,3:10,,
2017-06-25,E170,N429YX,KXNA,,KLGA,2:37,,2:37,2:37,,,,,1,1,,,,,,2:37,,
2017-06-30,E170,N882RW,KDCA,,KMSN,2:17,,2:17,2:17,,,,,1,1,,,,,,2:17,,
2017-06-30,E170,N212JQ,KORD,,KLGA,2:15,,2:15,2:15,,,,,1,1,,,,,,2:15,,
2017-06-30,E170,N208JQ,KLGA,,KDCA,1:03,,1:03,1:03,,,,,1,1,,,,,,1:03,,
2017-07-01,E170,N868RW,KMSN,,KDTW,1:17,,1:17,1:17,,,,,1,1,,,,,,1:17,,
2017-07-01,E170,N868RW,KDTW,,KMDW,1:14,,1:14,1:14,,,,,1,1,,,,,,1:14,,
2017-07-01,E170,N868RW,KMDW,,KDTW,1:21,,1:21,1:21,,,,,1,1,,,,,,1:21,,
2017-07-02,E170,N869RW,KSDF,,KLGA,2:02,,2:02,2:02,,,,,1,1,,,,,,2:02,,
2017-07-02,E170,N208JQ,KLGA,,KORD,2:26,,2:26,2:26,,,,,1,1,,,,,,2:26,,
2017-07-05,E170,N730YX,KORD,,KSTL,1:26,,1:26,1:26,,,,,1,1,,,,,,1:26,,
2017-07-05,E170,N730YX,KSTL,,KORD,1:06,,1:06,1:06,,,,,1,1,,,,,,1:06,,
2017-07-05,E170,N730YX,KORD,,KIND,1:19,,1:19,1:19,,,,,1,1,,,,,,1:19,,
2017-07-08,E170,N880RW,KORD,,KLGA,1:49,,1:49,1:49,,,,,1,1,,,,,,1:49,,
2017-07-08,E170,N867RW,KLGA,,KIND,2:24,,2:24,2:24,,,,,1,1,,,,,,2:24,,
2017-07-09,E170,N867RW,KIND,,KBOS,2:08,,2:08,2:08,,,,,1,1,,,,,,2:08,,
2017-07-09,E170,N212JQ,KBOS,,KLGA,1:21,,1:21,1:21,,,,,1,1,,,,,,1:21,,
2017-07-10,E170,N810MD,KRIC,,KBOS,1:38,,1:38,1:38,,,,,1,1,,,,,,1:38,,
2017-07-10,E170,N810MD,KBOS,,KLGA,1:22,,1:22,1:22,,,,,1,1,,,,,,1:22,,
2017-07-10,E170,N871RW,KLGA,,KORD,2:30,,2:30,2:30,,,,,1,1,,,,,,2:30,,
2017-07-12,E170,N858RW,KORD,,KSDF,1:13,,1:13,1:13,,,,,1,1,,,,,,1:13,,
2017-07-12,E170,N858RW,KSDF,,KORD,1:43,,1:43,1:43,,,,,1,1,,,,,,1:43,,
2017-07-20,E170,N138HQ,KPHL,,KBGR,1:43,,1:43,1:43,,,,,1,1,,,,,,1:43,,
2017-07-20,E170,N138HQ,KBGR,,KPHL,1:39,,1:39,1:39,,,,,1,1,,,,,,1:39,,
2017-07-22,E170,N732YX,KORD,,KBNA,1:30,,1:30,1:30,,,,,1,1,,,,,,1:30,,
2017-07-22,E170,N732YX,KBNA,,KEWR,2:03,,2:03,2:03,,,,,1,1,,,,,,2:03,,
2017-07-25,E170,N748YX,KORD,,KDSM,1:22,,1:22,1:22,,,,,1,1,,,,,,1:22,,
2017-08-01,E170,N730YX,KIND,,KEWR,2:04,,2:04,2:04,,,,,1,,,1,,,0:55,2:04,,
2017-08-01,E170,N643RW,KEWR,,KIND,2:00,,2:00,2:00,,,,,,,1,1,,,2:00,2:00,,
2017-08-03,E170,N204JQ,KORD,,KLGA,2:53,,2:53,2:53,,,,,1,1,,,,,,2:53,,
2017-08-05,E170,N637RW,KORD,,KSTL,1:12,,1:12,1:12,,,,,1,1,,,,,,1:12,,
2017-08-05,E170,N637RW,KSTL,,KEWR,2:19,,2:19,2:19,,,,,1,1,,,,,,2:19,,
2017-08-05,E170,N979RP,KEWR,,KCMH,1:45,,1:45,1:45,,,,,,,1,1,,,1:45,1:45,,
2017-08-06,E170,N410YX,KCMH,,KMIA,2:38,,2:38,2:38,,,,,1,1,,,,,,2:38,,
2017-08-09,E170,N213JQ,KORD,,KLGA,2:10,,2:10,2:10,,,,,1,1,,,,,,2:10,,
2017-08-10,E170,N875RW,KDCA,,KLGA,1:06,,1:06,1:06,,,,,1,1,,,,,,1:06,,
2017-08-10,E170,N872RW,KLGA,,KDCA,1:07,,1:07,1:07,,,,,1,1,,,,,,1:07,,
2017-08-10,E170,N871RW,KLGA,,KORD,3:04,,3:04,3:04,,,,,1,1,,,,,,3:04,,
2017-08-12,E170,N732YX,KEWR,,KRSW,3:04,,3:04,3:04,,,,,,,1,1,,,3:04,3:04,,
2017-08-13,E170,N739YX,KEWR,,KBNA,2:33,,2:33,2:33,,,,,1,1,,,,,,2:33,,
2017-08-13,E170,N739YX,KBNA,,KORD,1:41,,1:41,1:41,,,,,1,,,1,,,0:22,1:41,,
2017-08-16,E170,N723YX,KORD,,KATL,2:24,,2:24,2:24,,,,,1,,,1,,,0:27,2:24,,
2017-08-16,E170,N723YX,KATL,,KORD,2:05,,2:05,2:05,,,,,,,1,1,,,2:05,2:05,,
2017-08-18,E170,N644RW,KSAT,,KIAH,1:00,,1:00,1:00,,,,,1,1,,,,,,1:00,,
2017-08-18,E170,N637RW,KIAH,,KOKC,1:18,,1:18,1:18,,,,,1,1,,,,,,1:18,,
2017-08-18,E170,N633RW,KOKC,,KIAH,1:14,,1:14,1:14,,,,,1,1,,,,,,1:14,,
2017-08-22,E170,N744YX,KORD,,KDCA,1:47,,1:47,1:47,,,,,1,1,,,,,,1:47,,
2017-08-22,E170,N744YX,KDCA,,KORD,2:03,,2:03,2:03,,,,,1,1,,,,,,2:03,,
2017-08-28,E170,N736YX,KORD,,KRDU,1:59,,1:59,1:59,,,,,,,1,1,,,1:59,1:59,,
2017-08-29,E170,N726YX,KEWR,,KMSP,2:48,,2:48,2:48,,,,,1,,,1,,,2:28,2:48,,
2017-08-29,E170,N634RW,KRDU,,KEWR,1:29,,1:29,1:29,,,,,1,1,,,,,,1:29,,
2017-08-30,E170,N638RW,KMSP,,KEWR,2:57,,2:57,2:57,,,,,1,1,,,,,,2:57,,
